work_id,state,constituency,work_category,risk_band,overall_risk,major_signals,explanation,recommended_action
WS/MP18311/2025-2026/156719,Punjab,ANANDPUR SAHIB,Normal/Others,CRITICAL,91.5,"RULE-009,RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on rec_sanction_duration (robust z = 6.17); Recommendation-to-sanction duration is at the 98.4th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18152/2024-2025/141888,Punjab,FARIDKOT(SC),Normal/Others,CRITICAL,91.5,"RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on recommended_amount (robust z = 18.29); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 99.7th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP640/2026-2027/151613,Madhya Pradesh,MANDLA(ST),Normal/Others,CRITICAL,91.5,"RULE-009,RULE-011,RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on rec_sanction_duration (robust z = 13.81); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Recommendation-to-sanction duration is at the 95.2th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18152/2024-2025/158093,Punjab,FARIDKOT(SC),Normal/Others,CRITICAL,91.5,"RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on recommended_amount (robust z = 9.86); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 99.5th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18355/2026-2027/158360,Karnataka,BANGALORE NORTH,Normal/Others,CRITICAL,91.5,"RULE-009,RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on sanction_amount (robust z = 10.12); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Recommendation-to-sanction duration is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18065/2025-2026/134736,Haryana,ROHTAK,Normal/Others,CRITICAL,91.5,"RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on exp_sanction_ratio (robust z = 17.36); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); A single vendor accounts for 100.0% of total disbursed expenditure across 2 payment events; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP444/2025-2026/178196,Madhya Pradesh,BETUL(ST),Normal/Others,CRITICAL,91.5,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18154/2025-2026/166548,Punjab,GURDASPUR,Normal/Others,CRITICAL,91.5,"RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on recommended_amount (robust z = 50.0); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 97.3th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18158/2025-2026/176960,Punjab,PATIALA,Normal/Others,CRITICAL,91.5,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong peer-relative anomaly on payment_event (robust z = 10.12); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP378/2023-2024/2973,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,91.4318181818182,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 95.5th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18311/2024-2025/143656,Punjab,ANANDPUR SAHIB,Normal/Others,CRITICAL,91.28142076502732,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 99.5th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP478/2025-2026/154206,Uttarakhand,TEHRI GARHWAL,Normal/Others,CRITICAL,91.25,"RULE-011,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on exp_sanction_ratio (robust z = 36.21); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 96.9th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18152/2024-2025/140028,Punjab,FARIDKOT(SC),Normal/Others,CRITICAL,90.86507936507935,"RULE-011,RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 98.4th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18311/2024-2025/164311,Punjab,ANANDPUR SAHIB,Normal/Others,CRITICAL,90.84426229508196,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on recommended_amount (robust z = 4.72); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP541/2025-2026/153744,Assam,NOWGONG,Normal/Others,CRITICAL,90.83147674662771,"RULE-011,RULE-012,RULE-013,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 99.4th percentile among comparable works (L3_work_category_state_constituency); A single vendor accounts for 100.0% of total disbursed expenditure across 3 payment events; peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18158/2025-2026/176998,Punjab,PATIALA,Normal/Others,CRITICAL,90.71428571428572,"RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on payment_event (robust z = 15.51); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 97.0th percentile among comparable works (L3_work_category_state_constituency); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18167/2024-2025/158384,Rajasthan,JHUNJHUNU,Normal/Others,CRITICAL,90.71428571428572,"RULE-010,RULE-014,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on payment_event (robust z = 4.72); Sanction-to-completion duration is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18170/2024-2025/161863,Rajasthan,SIKAR,Normal/Others,CRITICAL,90.71428571428572,"RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on exp_sanction_ratio (robust z = 50.0); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP18166/2024-2025/164821,Rajasthan,JALORE,Normal/Others,CRITICAL,90.71428571428572,"RULE-014,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on payment_event (robust z = 6.07); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
