state,mp_name,mp_name_normalized,constituency,allocated_amount,allocation_level,allocation_term,allocation_term_confidence,allocation_term_evidence,source_package,source_file,source_row_number,source_record_id,allocation_is_cumulative_or_aggregate
Uttar Pradesh,Brijbhushan Sharan Singh(17th Lok Sabha),Brijbhushan Sharan Singh,KAISERGANJ,73563957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,58,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row58,True
Haryana,Brijendra Singh,Brijendra Singh,HISAR,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,59,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row59,True
Mizoram,C Lalrosanga(17th Lok Sabha),C Lalrosanga,MIZORAM (ST),73563957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,60,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row60,True
Gujarat,C R Patil,C R Patil,NAVSARI,68879825.0,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,61,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row61,True
Bihar,Chandan Singh,Chandan Singh,NAWADA,117663957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,62,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row62,True
Bihar,Chandeshwar Prasad,Chandeshwar Prasad,JAHANABAD,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,63,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row63,True
Rajasthan,Chandra Prakash Joshi(17th Lok Sabha),Chandra Prakash Joshi,CHITTORGARH,98229959.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,64,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row64,True
Andhra Pradesh,Chandra Sekhar Bellana,Chandra Sekhar Bellana,VIZIANAGARAM,112429587.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,65,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row65,True
Bihar,Chaudhary Mehboob Ali Kaiser,Chaudhary Mehboob Ali Kaiser,KHAGARIA,49063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,66,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row66,True
Madhya Pradesh,Chhatar Singh Darbar(17th Lok Sabha),Chhatar Singh Darbar,DHAR(ST),75559466.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,67,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row67,True
Bihar,Chhedi Paswan,Chhedi Paswan,SASARAM(SC),49063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,68,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row68,True
Bihar,Chirag Paswan,Chirag Paswan,JAMUI(SC),59479920.0,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,69,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row69,True
Chhattisgarh,Chunni lal Sahu,Chunni lal Sahu,MAHASAMUND,49563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,70,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row70,True
